Date,Region,Category,Product,Salesperson,Units,Revenue,Cost
2025-01-01,Suburbs,Beverages,House Wine,Server: Maya,5,131.2,51.59
2025-01-01,Mall Location,Desserts,Cheesecake,Server: Priya,4,135.08,38.51
2025-01-01,Uptown,Appetizers,Bruschetta,Server: Elin,1,7.47,2.13
2025-01-01,Uptown,Appetizers,Loaded Nachos,Server: Maya,3,99.9,37.67
2025-01-01,Mall Location,Appetizers,Loaded Nachos,Server: Priya,4,75.36,26.65
2025-01-01,Mall Location,Desserts,Chocolate Lava Cake,Server: Elin,6,86.34,25.4
2025-01-02,Airport,Appetizers,Calamari,Server: Jonah,3,98.97,33.71
2025-01-02,Uptown,Appetizers,Calamari,Server: Priya,2,40.46,12.32
2025-01-02,Mall Location,Entrees,Ribeye Steak,Server: Jonah,1,25.31,9.76
2025-01-02,Downtown,Desserts,Tiramisu,Server: Elin,2,10.88,3.91
2025-01-02,Downtown,Desserts,Tiramisu,Server: Jonah,3,68.46,23.83
2025-01-02,Airport,Entrees,Grilled Salmon,Server: Priya,5,86.35,31.1
2025-01-03,Downtown,Entrees,Grilled Salmon,Server: Diego,4,24.6,8.18
2025-01-03,Downtown,Beverages,Iced Tea,Server: Diego,6,92.82,34.41
2025-01-03,Uptown,Beverages,Espresso,Server: Elin,2,20.9,6.18
2025-01-04,Mall Location,Beverages,Iced Tea,Server: Jonah,2,68.7,24.91
2025-01-04,Suburbs,Appetizers,Calamari,Server: Diego,4,51.8,19.71
2025-01-05,Mall Location,Beverages,Espresso,Server: Maya,2,69.8,22.26
2025-01-05,Uptown,Beverages,Espresso,Server: Diego,4,141.08,53.81
2025-01-06,Suburbs,Beverages,Iced Tea,Server: Diego,2,11.44,3.98
2025-01-06,Mall Location,Entrees,Veggie Burger,Server: Maya,2,72.96,23.29
2025-01-06,Downtown,Entrees,Grilled Salmon,Server: Maya,5,186.7,57.16
2025-01-06,Uptown,Entrees,Chicken Alfredo,Server: Priya,3,53.52,15.03
2025-01-07,Suburbs,Desserts,Tiramisu,Server: Diego,2,35.44,12.78
2025-01-07,Suburbs,Desserts,Cheesecake,Server: Diego,1,35.69,10.71
2025-01-07,Downtown,Beverages,Espresso,Server: Maya,3,129.51,44.22
2025-01-07,Airport,Desserts,Chocolate Lava Cake,Server: Jonah,5,121.15,37.23
2025-01-07,Uptown,Beverages,Espresso,Server: Jonah,6,67.62,21.64
2025-01-08,Uptown,Entrees,Ribeye Steak,Server: Elin,1,33.96,11.4
2025-01-08,Downtown,Appetizers,Calamari,Server: Elin,3,76.89,29.2
2025-01-08,Airport,Appetizers,Bruschetta,Server: Diego,2,52.48,20.93
2025-01-08,Uptown,Beverages,Craft Beer,Server: Priya,1,30.42,11.93
2025-01-08,Suburbs,Entrees,Veggie Burger,Server: Maya,2,51.9,16.2
2025-01-08,Mall Location,Beverages,Espresso,Server: Diego,1,37.33,13.3
2025-01-09,Uptown,Entrees,Grilled Salmon,Server: Maya,2,37.98,11.34
