Date,Region,Category,Product,Salesperson,Units,Revenue,Cost
2024-01-01,West,Laptops,ThinkPad X1,Nadia Farouk,3,3770.43,2781.13
2024-01-02,Midwest,Accessories,Phone Case,Nadia Farouk,5,686.2,481.57
2024-01-03,West,Laptops,Dell XPS 13,Nadia Farouk,4,138.96,94.91
2024-01-04,Midwest,Accessories,USB-C Cable,Nadia Farouk,4,2329.72,1337.93
2024-01-04,West,Phones,Galaxy S24,Julia Park,3,2564.55,1744.51
2024-01-05,Southeast,Accessories,Wireless Mouse,Nadia Farouk,2,3231.28,1805.98
2024-01-06,West,Laptops,MacBook Air,Owen Fitzgerald,5,1901.45,1387.54
2024-01-06,Southeast,Laptops,MacBook Air,Carlos Mendes,5,4234.55,3094.97
2024-01-08,Midwest,Phones,Galaxy S24,Owen Fitzgerald,8,2460.08,1795.82
2024-01-09,Northeast,Accessories,USB-C Cable,Owen Fitzgerald,4,7111.56,5677.86
2024-01-10,Midwest,Phones,Galaxy S24,Nadia Farouk,6,9282.18,6473.34
2024-01-11,Midwest,Laptops,Dell XPS 13,Owen Fitzgerald,2,3201.96,2302.82
2024-01-11,Southeast,Phones,Galaxy S24,Julia Park,5,6859.25,4134.47
2024-01-11,Northeast,Accessories,Phone Case,Carlos Mendes,4,6823.32,3759.35
2024-01-12,Southeast,Accessories,Phone Case,Carlos Mendes,5,4552.5,2753.03
2024-01-13,Southeast,Phones,Galaxy S24,Owen Fitzgerald,8,4119.76,2693.87
2024-01-13,Southeast,Laptops,ThinkPad X1,Owen Fitzgerald,4,7116.52,5042.74
2024-01-14,Southeast,Laptops,MacBook Air,Owen Fitzgerald,7,10429.37,6512.31
2024-01-15,Northeast,Laptops,Dell XPS 13,Carlos Mendes,6,2467.14,1932.11
2024-01-15,West,Laptops,ThinkPad X1,Owen Fitzgerald,6,7745.22,5398.05
2024-01-15,Southeast,Phones,iPhone 15,Julia Park,7,7691.53,5359.71
2024-01-16,Midwest,Accessories,Wireless Mouse,Carlos Mendes,3,1561.35,1166.06
2024-01-16,West,Accessories,Wireless Mouse,Nadia Farouk,5,4671.65,2608.89
2024-01-18,Southeast,Accessories,Phone Case,Carlos Mendes,7,2437.26,1890.82
2024-01-18,Northeast,Accessories,USB-C Cable,Owen Fitzgerald,4,447.6,282.09
2024-01-19,West,Accessories,Wireless Mouse,Owen Fitzgerald,6,8180.76,5257.25
2024-01-19,Midwest,Phones,Pixel 8,Carlos Mendes,6,4228.5,3077.03
2024-01-20,West,Laptops,ThinkPad X1,Owen Fitzgerald,8,10984.56,8078.72
2024-01-21,Northeast,Phones,iPhone 15,Carlos Mendes,2,2939.78,1687.81
2024-01-21,Midwest,Laptops,MacBook Air,Julia Park,7,7952.98,6114.36
2024-01-22,Midwest,Phones,Galaxy S24,Julia Park,4,6003.92,4036.65
2024-01-22,Southeast,Accessories,USB-C Cable,Carlos Mendes,7,6021.68,4128.31
2024-01-22,Southeast,Laptops,Dell XPS 13,Carlos Mendes,4,4690.36,3399.61
